pk,wd,f1,n_hyp,n_ref,n,start_ep,end_ep,method,signal,dark
0.41379310344827586,0.41379310344827586,0.7499999999999999,3,5,32,30,61,baseline-fixed,0.09375,True
0.6285714285714286,0.6285714285714286,0.36363636363636365,4,7,37,96,132,baseline-fixed,0.21621621621621623,True
0.5,0.5,0.5714285714285715,3,4,29,135,163,baseline-fixed,0.0,True
0.6341463414634146,0.6341463414634146,0.22222222222222224,5,4,45,390,434,baseline-fixed,0.2,True
0.6410256410256411,0.6410256410256411,0.22222222222222224,5,4,43,578,620,baseline-fixed,0.37209302325581395,True
0.4489795918367347,0.4489795918367347,0.6,6,4,55,623,677,baseline-fixed,0.8181818181818182,False
0.35714285714285715,0.35714285714285715,0.6,5,5,46,825,870,baseline-fixed,0.17391304347826086,True
0.4107142857142857,0.4107142857142857,0.6666666666666666,7,8,59,905,963,baseline-fixed,0.0847457627118644,True
0.5704697986577181,0.5704697986577181,0.5333333333333333,19,11,155,983,1137,baseline-fixed,0.2129032258064516,True
0.19444444444444445,0.19444444444444445,0.888888888888889,4,5,39,1187,1225,baseline-fixed,0.3333333333333333,True
0.5740740740740741,0.5740740740740741,0.4615384615384615,7,6,58,1251,1308,baseline-fixed,0.8448275862068966,False
0.5384615384615384,0.5384615384615384,0.5,8,8,69,1310,1378,baseline-fixed,1.0,False
0.5648854961832062,0.5954198473282443,0.21428571428571427,17,11,137,3334,3470,baseline-fixed,0.9854014598540146,False
0.41379310344827586,0.4827586206896552,0.8000000000000002,5,5,32,30,61,baseline-random,0.09375,True
0.37142857142857144,0.4,0.7142857142857143,7,7,37,96,132,baseline-random,0.21621621621621623,True
0.6153846153846154,0.6153846153846154,0.5,4,4,29,135,163,baseline-random,0.0,True
0.5853658536585366,0.5853658536585366,0.25,4,4,45,390,434,baseline-random,0.2,True
0.46153846153846156,0.5128205128205128,0.5,4,4,43,578,620,baseline-random,0.37209302325581395,True
0.3877551020408163,0.3877551020408163,0.5,4,4,55,623,677,baseline-random,0.8181818181818182,False
0.42857142857142855,0.42857142857142855,0.6,5,5,46,825,870,baseline-random,0.17391304347826086,True
0.5178571428571429,0.5357142857142857,0.5,8,8,59,905,963,baseline-random,0.0847457627118644,True
